Gender,Cancer,Stage,Age group,No
Female,Cervix,Stage I,30-39 years,90.90770731707318
Female,Cervix,Stage I,40-49 years,153.6468292682927
Female,Cervix,Stage I,50-59 years,175.41346341463415
Female,Cervix,Stage II,30-39 years,84.54887804878048
Female,Cervix,Stage II,40-49 years,142.89951219512193
Female,Cervix,Stage II,50-59 years,163.14360975609756
Female,Cervix,Stage III,30-39 years,24.257756097560975
Female,Cervix,Stage III,40-49 years,40.999024390243896
Female,Cervix,Stage III,50-59 years,46.80721951219512
Female,Cervix,Stage IV,30-39 years,35.79785365853659
Female,Cervix,Stage IV,40-49 years,60.50341463414634
Female,Cervix,Stage IV,50-59 years,69.07473170731707
Female,Colon & rectum,Stage I,0-29 years,3.7199999999999998
Female,Colon & rectum,Stage I,30-39 years,16.368000000000002
Female,Colon & rectum,Stage I,40-49 years,59.148
Female,Colon & rectum,Stage I,50-59 years,177.44400000000002
Female,Colon & rectum,Stage I,60-69 years,254.44799999999998
Female,Colon & rectum,Stage I,70-79 years,226.92
Female,Colon & rectum,Stage I,80+ years,212.226
Female,Colon & rectum,Stage II,0-29 years,4.959999999999999
Female,Colon & rectum,Stage II,30-39 years,21.824
Female,Colon & rectum,Stage II,40-49 years,78.864
Female,Colon & rectum,Stage II,50-59 years,236.592
Female,Colon & rectum,Stage II,60-69 years,339.26399999999995
Female,Colon & rectum,Stage II,70-79 years,302.56
Female,Colon & rectum,Stage II,80+ years,282.96799999999996
Female,Colon & rectum,Stage III,0-29 years,5.859999999999999
Female,Colon & rectum,Stage III,30-39 years,25.784
Female,Colon & rectum,Stage III,40-49 years,93.17399999999999
Female,Colon & rectum,Stage III,50-59 years,279.522
Female,Colon & rectum,Stage III,60-69 years,400.82399999999996
Female,Colon & rectum,Stage III,70-79 years,357.46
Female,Colon & rectum,Stage III,80+ years,334.31299999999993
Female,Colon & rectum,Stage IV,0-29 years,5.4799999999999995
Female,Colon & rectum,Stage IV,30-39 years,24.112000000000002
Female,Colon & rectum,Stage IV,40-49 years,87.132
Female,Colon & rectum,Stage IV,50-59 years,261.396
Female,Colon & rectum,Stage IV,60-69 years,374.832
Female,Colon & rectum,Stage IV,70-79 years,334.28
Female,Colon & rectum,Stage IV,80+ years,312.63399999999996
Female,Female breast,Stage I,0-29 years,45.51
Female,Female breast,Stage I,30-39 years,365.19000000000005
Female,Female breast,Stage I,40-49 years,1365.3
Female,Female breast,Stage I,50-59 years,1720.5
Female,Female breast,Stage I,60-69 years,1580.085
Female,Female breast,Stage I,70-79 years,781.995
Female,Female breast,Stage I,80+ years,375.18
Female,Female breast,Stage II,0-29 years,15.907999999999998
Female,Female breast,Stage II,30-39 years,127.652
Female,Female breast,Stage II,40-49 years,477.23999999999995
Female,Female breast,Stage II,50-59 years,601.4
Female,Female breast,Stage II,60-69 years,552.3179999999999
Female,Female breast,Stage II,70-79 years,273.34599999999995
Female,Female breast,Stage II,80+ years,131.14399999999998
Female,Female breast,Stage III,0-29 years,11.316
Female,Female breast,Stage III,30-39 years,90.804
Female,Female breast,Stage III,40-49 years,339.48
Female,Female breast,Stage III,50-59 years,427.8
Female,Female breast,Stage III,60-69 years,392.886
Female,Female breast,Stage III,70-79 years,194.44199999999998
Female,Female breast,Stage III,80+ years,93.288
Female,Female breast,Stage IV,0-29 years,9.184
Female,Female breast,Stage IV,30-39 years,73.696
Female,Female breast,Stage IV,40-49 years,275.52
Female,Female breast,Stage IV,50-59 years,347.2
Female,Female breast,Stage IV,60-69 years,318.864
Female,Female breast,Stage IV,70-79 years,157.80799999999996
Female,Female breast,Stage IV,80+ years,75.71199999999999
Female,Lung,Stage I,30-39 years,8.77820146904512
Female,Lung,Stage I,40-49 years,38.67153620146904
Female,Lung,Stage I,50-59 years,108.42265057712487
Female,Lung,Stage I,60-69 years,183.15598740818467
Female,Lung,Stage I,70-79 years,178.8855110178384
Female,Lung,Stage I,80+ years,160.3801133263379
Female,Lung,Stage II,30-39 years,1.7408247639034629
Female,Lung,Stage II,40-49 years,7.669038824763904
Female,Lung,Stage II,50-59 years,21.501538300104933
Female,Lung,Stage II,60-69 years,36.322073452256035
Female,Lung,Stage II,70-79 years,35.47518572927597
Female,Lung,Stage II,80+ years,31.8053389296957
Female,Lung,Stage III,30-39 years,4.1853871983210915
Female,Lung,Stage III,40-49 years,18.43832738719832
Female,Lung,Stage III,50-59 years,51.69518782791186
Female,Lung,Stage III,60-69 years,87.32753830010493
Female,Lung,Stage III,70-79 years,85.29140398740819
Female,Lung,Stage III,80+ years,76.46815529905561
Female,Lung,Stage IV,30-39 years,22.297372507869884
Female,Lung,Stage IV,40-49 years,98.22896537250786
Female,Lung,Stage IV,50-59 years,275.40268205666314
Female,Lung,Stage IV,60-69 years,465.2316642182581
Female,Lung,Stage IV,70-79 years,454.38429380902414
Female,Lung,Stage IV,80+ years,407.3790220356768
Female,Lymphoid neoplasms,Stage NA,0-29 years,188.0
Female,Lymphoid neoplasms,Stage NA,30-39 years,94.0
Female,Lymphoid neoplasms,Stage NA,40-49 years,148.0
Female,Lymphoid neoplasms,Stage NA,50-59 years,307.0
Female,Lymphoid neoplasms,Stage NA,60-69 years,452.0
Female,Lymphoid neoplasms,Stage NA,70-79 years,378.0
Female,Lymphoid neoplasms,Stage NA,80+ years,242.0
Female,Non-melanoma skin,Stage NA,60-69 years,362.03058103975536
